Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,EP Room 4 Proc 1,EP Room 4 Proc 2,EP Room 4 Proc 3,EP Room 4 Proc 4,EP Room 4 Proc 5,EP Room 4 Proc 6,EP Room 4 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6,Overflow Proc 7
1,"(2005, 223.1)","(747, 125.74)","(1610, 105.07)","(1702, 85.74)",0.0,0.0,"(1992, 193.31)","(1549, 126.64)","(575, 106.2)","(1300, 93.01)","(1399, 110.89)",0.0,"(579, 156.76)","(1358, 128.57)","(1678, 124.57)","(639, 93.18)","(3187, 60.0)",0.0,"(1588, 155.91)","(1288, 129.64)","(1543, 113.36)","(624, 103.41)","(1714, 67.13)",0.0,"(660, 155.32)","(1680, 131.79)","(786, 112.63)","(1302, 94.77)","(3237, 85.14)",0.0,"(3746, 380.3)","(2121, 121.0)","(1071, 20.0)",0.0,0.0,0.0,0.0,"(3631, 380.3)","(2915, 90.93)","(2621, 35.93)",0.0,0.0,0.0,0.0,"(942, 380.3)","(2929, 119.97)","(3142, 29.98)",0.0,0.0,0.0,0.0,"(2478, 250.5)","(114, 158.87)","(1058, 57.23)","(1067, 48.03)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"(1989, 205.39)","(237, 133.84)","(1418, 104.62)","(490, 83.48)",0.0,0.0,"(1822, 181.23)","(1204, 145.31)","(1752, 109.43)","(486, 86.66)",0.0,0.0,"(1357, 168.62)","(928, 158.8)","(1479, 105.36)","(1974, 94.9)",0.0,0.0,"(3299, 274.38)","(1769, 123.9)","(1592, 97.2)",0.0,0.0,0.0,"(1934, 168.78)","(268, 152.0)","(1243, 112.98)","(425, 90.0)",0.0,0.0,"(966, 355.37)","(1051, 159.6)","(2615, 22.18)",0.0,0.0,0.0,0.0,"(3613, 238.24)","(1052, 172.08)","(2485, 133.07)",0.0,0.0,0.0,0.0,"(2717, 248.86)","(3856, 172.08)","(2649, 83.67)","(2579, 35.93)",0.0,0.0,0.0,"(3770, 355.37)","(3855, 159.6)","(2610, 31.93)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"(1791, 165.34)","(206, 164.35)","(402, 104.73)","(1665, 89.06)",0.0,0.0,"(3470, 170.11)","(3274, 147.17)","(1594, 120.15)","(450, 84.55)",0.0,0.0,"(3258, 200.08)","(233, 144.88)","(1599, 100.95)","(1519, 109.6)",0.0,0.0,"(3282, 217.65)","(1829, 125.09)","(1296, 102.61)","(1229, 77.78)",0.0,0.0,"(1910, 205.98)","(1175, 133.27)","(1876, 103.57)","(1589, 83.49)",0.0,0.0,"(3655, 355.37)","(3740, 159.6)",0.0,0.0,0.0,0.0,0.0,"(3480, 295.48)","(2673, 164.27)","(164, 27.27)","(3146, 26.93)",0.0,0.0,0.0,"(3513, 241.52)","(3741, 172.08)","(2543, 97.8)","(170, 21.95)",0.0,0.0,0.0,"(103, 194.91)","(3035, 181.26)","(3050, 156.1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"(1377, 180.54)","(1913, 122.22)","(1118, 102.97)","(3385, 73.48)",0.0,0.0,"(859, 156.65)","(350, 149.49)","(1466, 100.49)","(1113, 62.0)",0.0,0.0,"(1092, 251.62)","(531, 110.44)","(511, 92.94)",0.0,0.0,0.0,"(647, 189.28)","(1998, 117.47)","(654, 98.2)","(894, 75.76)",0.0,0.0,"(1768, 169.29)","(336, 123.03)","(800, 106.72)","(2722, 82.99)",0.0,0.0,"(2191, 200.14)",0.0,0.0,0.0,0.0,0.0,0.0,"(2530, 250.64)",0.0,0.0,0.0,0.0,0.0,0.0,"(3155, 22.58)","(2545, 20.5)",0.0,0.0,0.0,0.0,0.0,"(70, 79.47)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"(923, 185.37)","(2826, 120.89)","(374, 98.26)","(2852, 76.0)",0.0,0.0,"(905, 342.44)","(1743, 96.79)",0.0,0.0,0.0,0.0,"(1802, 152.99)","(1317, 152.51)","(694, 102.42)",0.0,0.0,0.0,"(2744, 159.93)","(314, 123.41)","(701, 109.42)","(304, 83.86)",0.0,0.0,"(3342, 206.76)","(868, 114.56)","(670, 97.92)",0.0,0.0,0.0,"(2179, 186.11)",0.0,0.0,0.0,0.0,0.0,0.0,"(3088, 119.97)",0.0,0.0,0.0,0.0,0.0,0.0,"(2985, 94.07)","(3093, 94.07)",0.0,0.0,0.0,0.0,0.0,"(3627, 464.1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"(2074, 181.88)","(2848, 134.71)","(2831, 116.46)","(606, 101.19)","(712, 94.35)",0.0,"(610, 187.29)","(1394, 130.59)","(745, 115.01)","(2821, 106.44)","(1595, 93.23)",0.0,"(1550, 150.99)","(1493, 136.66)","(2865, 119.42)","(2837, 108.05)","(764, 95.84)",0.0,"(2856, 151.24)","(622, 136.25)","(2000, 119.9)","(1544, 107.61)","(1456, 100.39)",0.0,"(2011, 349.54)","(2063, 109.81)","(2135, 100.8)","(3235, 70.0)",0.0,0.0,"(1024, 226.62)","(3828, 226.62)","(2950, 46.87)",0.0,0.0,0.0,0.0,"(3713, 226.62)","(2537, 158.2)","(2952, 85.72)","(2606, 29.45)",0.0,0.0,0.0,"(2270, 373.85)","(2942, 67.9)","(2956, 65.28)",0.0,0.0,0.0,0.0,"(2379, 251.79)","(2613, 129.4)","(2528, 108.88)","(2875, 8.48)","(360, 6.17)",0.0,0.0,"(593, 84.41)","(592, 82.09)","(3173, 76.88)","(3201, 67.03)","(3184, 61.33)","(659, 634.8)",0.0
7,"(1366, 184.32)","(1894, 134.02)","(1583, 103.81)","(1481, 92.75)",0.0,0.0,"(1575, 200.89)","(46, 125.04)","(1652, 102.48)","(1161, 88.63)",0.0,0.0,"(435, 146.67)","(1191, 145.93)","(3332, 122.45)","(1985, 97.08)","(1968, 79.7)",0.0,"(1422, 158.59)","(2095, 140.32)","(2140, 119.21)","(271, 95.0)",0.0,0.0,"(1254, 187.92)","(1848, 126.6)","(458, 112.09)","(649, 89.72)",0.0,0.0,"(3550, 328.82)","(1004, 143.17)","(3827, 108.5)",0.0,0.0,0.0,0.0,"(1009, 201.84)","(3059, 174.73)","(3738, 124.07)","(2563, 49.3)","(1060, 5.0)",0.0,0.0,"(2349, 336.53)","(3693, 143.17)","(3025, 73.63)",0.0,0.0,0.0,0.0,"(2313, 413.05)","(1023, 108.5)","(1082, 19.53)","(1085, 16.12)",0.0,0.0,0.0,"(1444, 352.32)","(1230, 176.53)",0.0,0.0,0.0,0.0,0.0
8,"(3376, 382.66)","(1971, 101.11)","(384, 82.93)",0.0,0.0,0.0,"(3261, 197.11)","(1194, 125.45)","(1410, 102.83)","(3265, 91.74)",0.0,0.0,"(232, 159.72)","(1531, 136.26)","(1949, 120.38)","(401, 96.46)",0.0,0.0,"(1964, 158.14)","(1275, 142.94)","(1956, 116.05)","(1522, 96.05)",0.0,0.0,"(321, 148.46)","(1577, 144.26)","(931, 120.55)","(1472, 99.0)","(194, 79.47)",0.0,"(3813, 201.84)","(1032, 154.17)","(3808, 143.17)","(1072, 55.82)",0.0,0.0,0.0,"(2484, 227.0)","(3721, 154.17)","(3853, 124.07)",0.0,0.0,0.0,0.0,"(3478, 284.51)","(3836, 154.17)","(3712, 108.5)",0.0,0.0,0.0,0.0,"(3698, 201.84)","(3072, 160.5)","(1049, 124.07)","(3106, 69.62)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"(830, 174.39)","(2863, 122.89)","(356, 108.94)","(2853, 93.17)","(479, 81.6)",0.0,"(1140, 191.28)","(1356, 119.22)","(2790, 108.2)","(3233, 89.64)",0.0,0.0,"(1454, 155.0)","(2807, 134.77)","(3583, 114.0)","(1700, 100.64)","(310, 77.63)",0.0,"(279, 162.81)","(428, 125.49)","(1926, 117.44)","(368, 96.05)","(513, 77.64)",0.0,"(730, 170.07)","(3330, 123.63)","(1811, 113.11)","(1719, 92.87)","(1285, 80.23)",0.0,"(2235, 354.44)","(2607, 148.43)",0.0,0.0,0.0,0.0,0.0,"(2178, 229.83)","(2399, 197.52)","(161, 39.88)","(2683, 5.0)",0.0,0.0,0.0,"(3517, 417.47)","(167, 47.58)","(2600, 5.0)",0.0,0.0,0.0,0.0,"(3720, 394.25)","(2982, 49.07)","(1677, 32.35)",0.0,0.0,0.0,0.0,"(919, 406.51)",0.0,0.0,0.0,0.0,0.0,0.0
10,"(3346, 244.82)","(393, 118.98)","(3595, 107.01)","(335, 89.13)",0.0,0.0,"(1153, 175.96)","(416, 119.24)","(1840, 111.99)","(1854, 89.77)","(1171, 87.27)",0.0,"(1331, 165.19)","(382, 124.67)","(1779, 113.68)","(683, 102.93)",0.0,0.0,"(3382, 157.98)","(3371, 127.33)","(3584, 118.68)","(3246, 97.61)","(1865, 77.67)",0.0,"(1186, 157.82)","(908, 131.2)","(915, 114.68)","(2796, 102.74)","(289, 69.95)",0.0,"(2377, 288.16)","(3006, 181.43)",0.0,0.0,0.0,0.0,0.0,"(2353, 323.28)","(85, 151.84)",0.0,0.0,0.0,0.0,0.0,"(3835, 394.25)","(123, 46.43)","(137, 13.78)","(160, 2.95)",0.0,0.0,0.0,"(1031, 394.25)","(2209, 123.37)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
