Day,0:0,0:15,0:30,0:45,1:0,1:15,1:30,1:45,2:0,2:15,2:30,2:45,3:0,3:15,3:30,3:45,4:0,4:15,4:30,4:45,5:0,5:15,5:30,5:45,6:0,6:15,6:30,6:45,7:0,7:15,7:30,7:45,8:0,8:15,8:30,8:45,9:0,9:15,9:30,9:45,10:0,10:15,10:30,10:45,11:0,11:15,11:30,11:45,12:0,12:15,12:30,12:45,13:0,13:15,13:30,13:45,14:0,14:15,14:30,14:45,15:0,15:15,15:30,15:45,16:0,16:15,16:30,16:45,17:0,17:15,17:30,17:45,18:0,18:15,18:30,18:45,19:0,19:15,19:30,19:45,20:0,20:15,20:30,20:45,21:0,21:15,21:30,21:45,22:0,22:15,22:30,22:45,23:0,23:15,23:30,23:45,24:0,24:15,24:30,24:45,25:0,25:15,25:30,25:45,26:0,26:15,26:30,26:45,27:0,27:15,27:30,27:45,28:0,28:15,28:30,28:45,29:0,29:15,29:30,29:45
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,10,1,3,2,2,2,3,3,3,5,5,8,5,5,4,5,5,9,8,9,13,11,12,10,11,10,16,16,17,17,15,15,18,17,23,22,21,19,21,16,16,16,15,14,14,14,14,13,12,11,10,10,9,7,7,5,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,5,5,9,0,0,0,0,0,1,2,3,3,3,3,7,5,4,4,7,8,7,8,7,8,11,9,11,9,8,9,12,15,13,11,11,11,11,15,15,13,10,10,10,9,7,6,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,9,1,0,0,1,1,2,2,2,2,2,2,6,9,8,8,5,7,6,6,7,6,8,11,10,7,10,10,12,12,16,14,11,11,7,14,14,12,12,11,11,11,10,9,7,7,7,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,5,10,1,2,1,1,1,3,4,4,4,4,5,7,7,4,4,5,7,6,7,9,11,7,6,7,9,8,11,11,9,7,8,10,12,11,9,9,8,6,6,4,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,4,9,0,1,1,1,1,2,5,5,5,6,8,6,9,9,8,8,7,8,9,7,10,9,9,7,8,7,9,9,9,9,10,11,12,11,11,10,9,9,9,7,5,5,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,9,0,0,0,1,1,1,3,3,3,3,5,2,6,4,4,9,9,9,10,12,10,13,10,11,12,16,14,17,16,16,19,18,15,20,14,13,10,10,8,8,9,11,11,10,9,8,7,7,7,6,5,5,5,5,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,4,8,1,1,2,2,2,4,4,5,5,7,7,7,8,9,6,6,6,7,8,12,12,15,13,11,12,13,11,15,15,11,9,12,10,12,17,16,19,15,15,15,10,7,6,6,6,6,5,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,12,3,2,2,3,3,3,3,4,4,5,6,4,5,10,7,10,11,11,12,15,15,14,13,15,16,17,17,19,16,16,14,13,14,15,18,15,16,17,16,16,13,13,12,11,10,9,7,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,4,4,5,10,0,1,1,1,2,1,2,2,2,3,6,6,6,5,6,9,8,8,9,14,11,9,9,12,12,11,15,20,17,17,17,22,15,21,17,17,16,15,19,19,14,13,11,11,10,8,5,5,5,4,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,5,5,9,0,0,0,1,2,2,2,4,7,7,9,9,6,6,7,7,8,8,8,15,10,12,13,14,16,15,21,17,16,15,16,15,11,14,11,11,11,12,14,11,9,8,8,8,7,6,5,4,4,4,4,4,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
