Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,EP Room 4 Proc 1,EP Room 4 Proc 2,EP Room 4 Proc 3,EP Room 4 Proc 4,EP Room 4 Proc 5,EP Room 4 Proc 6,EP Room 4 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6,Overflow Proc 7
1,223.1,125.74,105.07,85.74,0.0,0.0,193.31,126.64,106.2,93.01,110.89,0.0,156.76,128.57,124.57,93.18,60.0,0.0,155.91,129.64,113.36,103.41,67.13,0.0,155.32,131.79,112.63,94.77,85.14,0.0,380.3,121.0,20.0,0.0,0.0,0.0,0.0,380.3,90.93,35.93,0.0,0.0,0.0,0.0,380.3,119.97,29.98,0.0,0.0,0.0,0.0,250.5,158.87,57.23,48.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,205.39,133.84,104.62,83.48,0.0,0.0,181.23,145.31,109.43,86.66,0.0,0.0,168.62,158.8,105.36,94.9,0.0,0.0,274.38,123.9,97.2,0.0,0.0,0.0,168.78,152.0,112.98,90.0,0.0,0.0,355.37,159.6,22.18,0.0,0.0,0.0,0.0,238.24,172.08,133.07,0.0,0.0,0.0,0.0,248.86,172.08,83.67,35.93,0.0,0.0,0.0,355.37,159.6,31.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,165.34,164.35,104.73,89.06,0.0,0.0,170.11,147.17,120.15,84.55,0.0,0.0,200.08,144.88,100.95,109.6,0.0,0.0,217.65,125.09,102.61,77.78,0.0,0.0,205.98,133.27,103.57,83.49,0.0,0.0,355.37,159.6,0.0,0.0,0.0,0.0,0.0,295.48,164.27,27.27,26.93,0.0,0.0,0.0,241.52,172.08,97.8,21.95,0.0,0.0,0.0,194.91,181.26,156.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,180.54,122.22,102.97,73.48,0.0,0.0,156.65,149.49,100.49,62.0,0.0,0.0,251.62,110.44,92.94,0.0,0.0,0.0,189.28,117.47,98.2,75.76,0.0,0.0,169.29,123.03,106.72,82.99,0.0,0.0,200.14,0.0,0.0,0.0,0.0,0.0,0.0,250.64,0.0,0.0,0.0,0.0,0.0,0.0,22.58,20.5,0.0,0.0,0.0,0.0,0.0,79.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,185.37,120.89,98.26,76.0,0.0,0.0,342.44,96.79,0.0,0.0,0.0,0.0,152.99,152.51,102.42,0.0,0.0,0.0,159.93,123.41,109.42,83.86,0.0,0.0,206.76,114.56,97.92,0.0,0.0,0.0,186.11,0.0,0.0,0.0,0.0,0.0,0.0,119.97,0.0,0.0,0.0,0.0,0.0,0.0,94.07,94.07,0.0,0.0,0.0,0.0,0.0,464.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,181.88,134.71,116.46,101.19,94.35,0.0,187.29,130.59,115.01,106.44,93.23,0.0,150.99,136.66,119.42,108.05,95.84,0.0,151.24,136.25,119.9,107.61,100.39,0.0,349.54,109.81,100.8,70.0,0.0,0.0,226.62,226.62,46.87,0.0,0.0,0.0,0.0,226.62,158.2,85.72,29.45,0.0,0.0,0.0,373.85,67.9,65.28,0.0,0.0,0.0,0.0,251.79,129.4,108.88,8.48,6.17,0.0,0.0,84.41,82.09,76.88,67.03,61.33,634.8,0.0
7,184.32,134.02,103.81,92.75,0.0,0.0,200.89,125.04,102.48,88.63,0.0,0.0,146.67,145.93,122.45,97.08,79.7,0.0,158.59,140.32,119.21,95.0,0.0,0.0,187.92,126.6,112.09,89.72,0.0,0.0,328.82,143.17,108.5,0.0,0.0,0.0,0.0,201.84,174.73,124.07,49.3,5.0,0.0,0.0,336.53,143.17,73.63,0.0,0.0,0.0,0.0,413.05,108.5,19.53,16.12,0.0,0.0,0.0,352.32,176.53,0.0,0.0,0.0,0.0,0.0
8,382.66,101.11,82.93,0.0,0.0,0.0,197.11,125.45,102.83,91.74,0.0,0.0,159.72,136.26,120.38,96.46,0.0,0.0,158.14,142.94,116.05,96.05,0.0,0.0,148.46,144.26,120.55,99.0,79.47,0.0,201.84,154.17,143.17,55.82,0.0,0.0,0.0,227.0,154.17,124.07,0.0,0.0,0.0,0.0,284.51,154.17,108.5,0.0,0.0,0.0,0.0,201.84,160.5,124.07,69.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,174.39,122.89,108.94,93.17,81.6,0.0,191.28,119.22,108.2,89.64,0.0,0.0,155.0,134.77,114.0,100.64,77.63,0.0,162.81,125.49,117.44,96.05,77.64,0.0,170.07,123.63,113.11,92.87,80.23,0.0,354.44,148.43,0.0,0.0,0.0,0.0,0.0,229.83,197.52,39.88,5.0,0.0,0.0,0.0,417.47,47.58,5.0,0.0,0.0,0.0,0.0,394.25,49.07,32.35,0.0,0.0,0.0,0.0,406.51,0.0,0.0,0.0,0.0,0.0,0.0
10,244.82,118.98,107.01,89.13,0.0,0.0,175.96,119.24,111.99,89.77,87.27,0.0,165.19,124.67,113.68,102.93,0.0,0.0,157.98,127.33,118.68,97.61,77.67,0.0,157.82,131.2,114.68,102.74,69.95,0.0,288.16,181.43,0.0,0.0,0.0,0.0,0.0,323.28,151.84,0.0,0.0,0.0,0.0,0.0,394.25,46.43,13.78,2.95,0.0,0.0,0.0,394.25,123.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
