"","Attending","AttendingKey"
"1","Kenneth Rosenfield, M.D.",1
"2","James E. Lock, M.D.",2
"3","David Criss, M.D.",3
"4","Douglas Drachman, M.D.",4
"5","Ik-Kyung Jang, M.D., Ph.D.",5
"6","Igor F. Palacios, M.D.",6
"7","Josanna M. Rodriguez-Lopez, M.D.",7
"8","Richard N. Channick, M.D.",8
"9","Glenn M. LaMuraglia, M.D.",9
"10","Joseph Garasic, M.D.",10
"11","Robert Schainfeld, M.D.",11
"12","Brenda Corrigan, M.D.",12
"13","Ignacio Inglessis, M.D.",13
"14","Charles Boucher, M.D.",14
"15","Sammy Elmariah, M.D.",15
"16","Michael Fifer, M.D.",16
"17","Farouc Jaffer, M.D., Ph.D.",17
"18","Howard Waldman, M.D., Ph.D.",18
"19","Carl Turissini, M.D.",19
"20","Deepak Thatai, M.D.",20
"21","Robert W. Yeh, M.D., M.B.A.",21
"22","Anjum Butte, M.D.",22
"23","Suzanne J. Baron, M.D.",23
"24","Rifat B. Dweik, MBBCh, M.D.",24
"25","Andrew N. Rassi, M.D.",25
"26","Marc Semigran, M.D.",26
"27","Thomas LaMattina, M.D.",27
"28","Baker, Joshua N., M.D.",28
"29","Christopher Kwolek, M.D.",29
"30","Khether Raby, M.D.",30
"31","Michael Meuth, M.D.",31
"32","Serguei Melnitchouk, M.D.",32
"33","",33
"34","Josanna M. Rodriguez-Lopez, M.D",34
"35","Seth Bilazarian, M.D.",35
"36","Heist Edwin K, MD, Phd",36
"37","Singh Jagmeet P, MD, Phd",37
"38","Mansour Moussa C, MD",38
"39","Mela Theofanie, MD",39
"40","Vanhouzen Nathan E, MD",40
"41","Blendea Dan, MD, Phd",41
"42","Lubitz Steven A, M.D.,M.P.H.",42
"43","Milan David J, MD",43
"44","VanHouzen Nathan E, MD",44
"45","Ptaszek Leon M, MD, Phd",45
"46","Ptaszek Leon M, MD, PHD",46
"47","Carlson William Dean, M.D.,Ph.D.",47
"48","Heist Edwin K, MD, PhD",48
"49","Blendea Dan, MD, PHD",49
"50","Singh Jagmeet P, MD, PHD",50
"51","Ruskin Jeremy N, MD",51
"52","Pirzada Farouk A, MD",52
"53","Guiney, Timothy E., M.D.",53
"54","Scott Nandita S, M.D.",54
"55","Bhatt Ami B, MD",55
"56","Semigran, Marc J., M.D.",56
"57","Isselbacher Eric Michael, M.D.",57
"58","Scott, Nandita",58
"59","Tsiaras, Sarah V, M.D.",59
"60","Parks Kimberly Ann, D.O.",60
"61","Lubitz Steven A, MD, Mph",61
