ProcCat,PostProcCat
ablation,Cat4
pacemaker implant,Cat5
ICD implant,Cat5
pacemaker implant/replacement,Cat5
ICD implant/replacement,Cat5
pacemaker replacement,Cat1
CRT,Cat5
EP study,Cat2
ICD replacement,Cat1
event recorder implant,Cat3
lead replacement/revision,Cat5
lead insertion,Cat5
event recorder removal,Cat3
Fluoroscopy,Cat3
permanent pacemaker implant,Cat5
lead removal,Cat5
Subcutaneous ICD,Cat5
tilt table test,Cat3
Case Aborted,CatNA
ICD removal,Cat5
pacemaker upgrade,Cat5
skin pocket revision/relocation,Cat5
CRT-D implant,Cat5
Epinephrie Challenge,Cat5
LAA Occlusion Device,Cat5
lead replacement,Cat5
pacemaker removal,Cat5
pericardial tap,Cat5
temp pacemaker implant/replacement,Cat5
