Day,0:0,0:15,0:30,0:45,1:0,1:15,1:30,1:45,2:0,2:15,2:30,2:45,3:0,3:15,3:30,3:45,4:0,4:15,4:30,4:45,5:0,5:15,5:30,5:45,6:0,6:15,6:30,6:45,7:0,7:15,7:30,7:45,8:0,8:15,8:30,8:45,9:0,9:15,9:30,9:45,10:0,10:15,10:30,10:45,11:0,11:15,11:30,11:45,12:0,12:15,12:30,12:45,13:0,13:15,13:30,13:45,14:0,14:15,14:30,14:45,15:0,15:15,15:30,15:45,16:0,16:15,16:30,16:45,17:0,17:15,17:30,17:45,18:0,18:15,18:30,18:45,19:0,19:15,19:30,19:45,20:0,20:15,20:30,20:45,21:0,21:15,21:30,21:45,22:0,22:15,22:30,22:45,23:0,23:15,23:30,23:45
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,3,3,4,3,3,22,21,18,3,20,3,2,21,39,3,3,3,40,6,6,41,7,21,3,52,20,23,21,3,21,19,1,1,33,17,17,18,0,19,49,0,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,2,3,2,3,21,3,20,3,22,2,2,32,2,2,18,23,6,6,5,22,1,18,52,37,3,3,3,4,20,20,2,1,17,51,18,17,0,18,16,14,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,2,2,3,4,21,5,23,4,4,39,20,18,20,19,18,20,20,1,3,3,38,5,5,21,4,2,35,2,34,18,1,0,16,0,16,0,0,35,17,0,18,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,2,2,2,3,3,2,18,19,2,3,20,4,20,4,3,21,19,20,19,0,0,32,18,3,3,21,1,1,1,34,1,19,1,0,0,0,17,0,0,18,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,1,2,2,2,1,3,21,3,20,3,2,2,19,36,2,1,2,3,20,22,4,2,1,18,19,19,20,3,19,2,1,33,0,15,15,0,18,0,18,0,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,3,3,3,3,2,21,19,21,4,5,22,5,2,19,37,20,5,25,7,20,3,21,38,36,4,22,22,4,22,19,18,1,33,17,17,0,18,0,17,0,0,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,1,2,3,3,3,3,2,20,18,19,2,2,18,3,5,22,4,3,21,3,37,37,21,3,1,1,34,17,2,19,2,2,20,0,0,16,54,0,0,17,0,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,4,4,5,5,22,3,20,38,5,38,5,5,20,4,5,35,40,8,23,4,5,57,18,21,20,40,5,5,21,3,17,36,0,35,0,32,0,32,0,0,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,2,2,3,3,4,4,22,21,4,20,2,19,36,2,2,21,3,4,20,4,21,3,3,38,3,22,3,37,4,4,19,3,19,20,0,16,16,18,0,16,0,17,50,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,2,3,4,4,4,3,20,20,19,20,4,5,22,4,4,21,18,20,20,22,6,6,42,5,2,17,53,55,19,2,3,4,20,2,2,35,16,0,18,15,18,17,0,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
