Day,0:0,0:30,1:0,1:30,2:0,2:30,3:0,3:30,4:0,4:30,5:0,5:30,6:0,6:30,7:0,7:30,8:0,8:30,9:0,9:30,10:0,10:30,11:0,11:30,12:0,12:30,13:0,13:30,14:0,14:30,15:0,15:30,16:0,16:30,17:0,17:30,18:0,18:30,19:0,19:30,20:0,20:30,21:0,21:30,22:0,22:30,23:0,23:30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,3,12,5,26,16,10,4,18,3,12,27,6,9,28,9,11,9,15,7,7,7,14,6,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,3,4,12,18,12,10,12,18,11,10,21,12,26,4,27,3,15,15,7,8,28,14,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,4,6,11,22,12,2,3,4,3,15,9,7,9,8,8,7,13,6,0,7,6,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,4,5,10,25,4,12,12,26,19,5,17,16,10,18,3,14,7,13,7,13,7,7,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,3,10,9,8,2,9,2,1,7,8,1,8,0,6,0,8,0,0,13,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,5,6,18,24,5,13,5,25,26,5,20,3,24,19,3,9,7,13,0,22,0,26,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,5,20,18,10,12,11,21,4,26,17,20,10,19,10,17,0,28,7,22,15,8,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,4,5,17,15,7,3,3,10,12,11,10,12,15,0,0,8,15,16,7,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,4,5,20,18,5,18,11,13,21,14,11,31,13,19,11,17,22,1,14,20,7,23,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,3,4,10,16,8,3,3,10,10,9,9,17,8,9,8,7,13,0,0,14,7,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,10,5,4,33,5,12,12,18,18,12,11,19,18,14,11,15,7,28,7,0,29,7,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,2,5,6,19,23,9,11,3,12,10,19,2,24,1,7,6,7,13,8,7,13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,4,4,12,25,5,11,11,20,13,24,12,19,13,12,26,1,23,8,8,13,21,7,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,1,3,4,9,23,8,2,3,12,6,17,19,8,15,0,7,7,7,19,0,7,6,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,3,3,18,10,5,10,17,11,17,11,8,19,11,5,10,16,13,7,7,12,13,6,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,10,5,12,32,12,6,11,18,23,13,13,11,17,27,11,3,16,12,20,8,16,14,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,2,2,14,8,0,1,1,3,2,9,7,7,7,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,5,6,19,24,5,12,15,11,28,11,23,10,12,20,4,8,29,8,0,21,20,8,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,2,2,8,7,0,8,2,4,3,16,8,8,1,0,14,6,0,0,13,6,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,2,4,12,12,19,18,18,4,13,20,12,18,19,4,18,9,22,7,0,21,7,14,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,12,4,5,31,11,6,22,18,3,24,13,13,14,3,30,8,7,8,0,34,0,8,7,0,0,0,0,0,0,0,0
