Day,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,5,5,10,23,4,6,15,15,13,13,10,9,8,7,18,3,1,10,10,10,5,5,10,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,7,20,6,22,1,8,9,4,4,19,10,3,18,7,6,5,10,5,15,10,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,5,5,14,24,5,7,15,14,14,14,9,2,17,9,3,12,5,10,5,10,15,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,4,9,5,18,3,10,9,8,11,12,2,1,10,5,0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,7,2,6,0,7,2,2,0,11,1,1,0,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,5,6,17,19,9,7,16,6,10,7,22,8,3,7,9,8,8,0,15,15,0,25,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,3,5,15,11,14,8,12,8,4,8,17,5,11,1,6,0,15,5,5,0,5,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,4,6,16,16,14,3,14,14,7,15,17,5,25,9,14,14,8,6,15,10,0,25,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,4,4,16,7,4,4,3,11,13,3,14,2,13,18,9,2,11,5,5,0,5,15,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,2,2,8,7,3,7,7,2,8,13,2,5,21,2,2,1,5,5,0,5,5,5,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,4,22,3,3,12,12,2,7,6,5,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,7,4,4,14,14,5,13,2,13,8,3,6,13,3,8,6,10,10,0,5,15,5,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,2,6,12,11,23,4,21,10,4,19,14,2,12,12,3,11,16,5,5,0,15,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,4,4,12,11,1,3,8,10,4,14,13,13,3,7,6,5,5,15,5,0,5,5,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,2,3,12,3,12,2,6,7,3,8,7,8,13,4,1,16,0,5,10,0,10,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,6,8,20,17,8,8,6,8,14,8,18,2,7,14,5,3,11,15,5,0,10,20,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,6,6,23,13,5,5,8,17,7,15,4,9,6,17,1,11,0,10,10,0,5,5,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,4,4,5,26,1,7,3,5,3,14,7,14,3,14,8,12,6,10,10,5,5,5,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,2,3,7,8,7,7,6,7,2,7,6,12,7,7,1,5,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,2,7,8,7,2,11,2,1,7,6,6,2,7,3,1,11,0,10,0,5,5,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,5,9,13,14,11,11,4,23,8,7,9,9,10,3,17,6,5,15,10,5,10,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,3,5,11,19,14,9,10,8,7,13,9,4,10,15,9,6,15,10,0,10,0,20,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,5,6,6,31,3,14,4,1,17,8,3,8,12,8,2,12,1,5,5,10,5,10,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,5,5,9,21,2,4,8,3,8,18,2,6,11,2,6,6,0,5,10,5,5,5,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,1,7,2,2,6,6,1,1,16,2,1,11,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,6,7,25,19,4,15,10,11,8,18,7,14,5,11,11,15,13,11,10,10,10,15,5,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,5,5,17,12,2,3,2,14,9,8,7,11,6,1,6,1,0,10,15,0,10,0,0,0,0,0,0,0,0,0
