Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 1 Proc 7,Cath Room 1 Proc 8,Cath Room 1 Proc 9,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 2 Proc 7,Cath Room 2 Proc 8,Cath Room 2 Proc 9,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 3 Proc 7,Cath Room 3 Proc 8,Cath Room 3 Proc 9,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 4 Proc 7,Cath Room 4 Proc 8,Cath Room 4 Proc 9,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,Cath Room 5 Proc 7,Cath Room 5 Proc 8,Cath Room 5 Proc 9,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 1 Proc 5,EP Room 1 Proc 6,EP Room 1 Proc 7,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 2 Proc 5,EP Room 2 Proc 6,EP Room 2 Proc 7,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,EP Room 3 Proc 5,EP Room 3 Proc 6,EP Room 3 Proc 7,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5,Overflow Proc 6
1,59.16,68.63,85.16,89.01,91.69,92.95,94.26,0.0,0.0,94.27,98.84,102.17,106.77,109.08,106.06,0.0,0.0,0.0,124.64,125.09,127.91,132.94,107.2,0.0,0.0,0.0,0.0,140.14,142.4,153.27,155.85,0.0,0.0,0.0,0.0,0.0,158.43,198.97,217.16,0.0,0.0,0.0,0.0,0.0,0.0,119.97,244.42,90.93,158.87,0.0,0.0,0.0,377.97,0.0,0.0,0.0,0.0,0.0,0.0,377.97,0.0,0.0,0.0,0.0,0.0,0.0,377.97,0.0,0.0,0.0,0.0,0.0
2,88.02,89.87,93.35,93.56,97.03,102.8,0.0,0.0,0.0,109.56,110.58,123.08,124.45,136.28,0.0,0.0,0.0,0.0,148.36,149.44,162.66,168.05,0.0,0.0,0.0,0.0,0.0,169.47,201.8,227.43,0.0,0.0,0.0,0.0,0.0,0.0,268.53,157.86,182.97,0.0,0.0,0.0,0.0,0.0,0.0,149.23,149.23,149.23,83.67,0.0,0.0,0.0,238.75,294.26,0.0,0.0,0.0,0.0,0.0,364.34,133.07,0.0,0.0,0.0,0.0,0.0,364.34,364.34,0.0,0.0,0.0,0.0
3,81.85,83.7,85.86,88.08,92.34,106.28,0.0,0.0,0.0,108.35,120.85,124.22,127.46,147.17,0.0,0.0,0.0,0.0,156.93,166.33,166.52,115.62,0.0,0.0,0.0,0.0,0.0,178.51,181.64,193.33,0.0,0.0,0.0,0.0,0.0,0.0,206.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.74,180.74,180.74,0.0,0.0,0.0,0.0,244.03,97.8,156.1,0.0,0.0,0.0,0.0,193.21,256.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,62.0,76.0,81.47,94.08,99.56,100.84,104.92,0.0,0.0,105.52,107.15,109.16,118.73,142.32,0.0,0.0,0.0,0.0,155.52,158.63,174.99,0.0,0.0,0.0,0.0,0.0,0.0,183.0,248.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.97,79.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,79.71,81.48,90.24,90.79,93.93,95.33,99.67,0.0,0.0,101.29,118.69,127.92,132.88,134.3,0.0,0.0,0.0,0.0,153.94,170.52,182.42,0.0,0.0,0.0,0.0,0.0,0.0,200.67,354.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.86,0.0,0.0,0.0,0.0,0.0,0.0,200.07,207.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,62.0,70.0,72.11,75.82,77.24,83.59,88.2,93.01,0.0,93.91,95.18,99.44,103.41,104.31,107.25,0.0,0.0,0.0,107.28,108.2,113.36,116.32,118.25,0.0,0.0,0.0,0.0,120.23,121.17,129.67,133.42,0.0,0.0,0.0,0.0,0.0,140.94,146.29,161.01,176.04,0.0,0.0,0.0,0.0,0.0,257.94,368.0,0.0,0.0,0.0,0.0,0.0,67.9,129.4,159.17,228.43,0.0,0.0,0.0,228.43,228.43,0.0,0.0,0.0,0.0,0.0,182.9,340.49,634.8,0.0,0.0,0.0
7,84.86,87.03,96.74,108.11,115.28,120.16,0.0,0.0,0.0,128.52,131.95,138.84,143.14,0.0,0.0,0.0,0.0,0.0,157.25,193.94,197.92,0.0,0.0,0.0,0.0,0.0,0.0,176.86,343.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.21,211.21,211.21,0.0,0.0,0.0,0.0,324.27,154.17,154.17,0.0,0.0,0.0,0.0,341.82,154.17,0.0,0.0,0.0,0.0,0.0,412.98,0.0,0.0,0.0,0.0,0.0
8,80.0,80.55,80.93,92.04,92.38,93.14,95.93,0.0,0.0,99.52,99.83,100.75,102.53,104.33,109.49,0.0,0.0,0.0,120.39,122.29,123.72,124.98,128.61,0.0,0.0,0.0,0.0,138.74,139.1,149.71,158.91,0.0,0.0,0.0,0.0,0.0,173.28,185.4,204.1,0.0,0.0,0.0,0.0,0.0,0.0,73.63,267.38,108.5,108.5,0.0,0.0,0.0,108.5,124.07,124.07,124.07,143.17,0.0,0.0,143.17,143.17,158.78,172.21,0.0,0.0,0.0,385.65,0.0,0.0,0.0,0.0,0.0
9,75.47,83.94,84.91,96.54,103.66,105.97,0.0,0.0,0.0,110.4,111.51,112.05,112.07,124.88,0.0,0.0,0.0,0.0,128.1,128.56,140.29,142.65,0.0,0.0,0.0,0.0,0.0,154.59,164.47,170.32,0.0,0.0,0.0,0.0,0.0,0.0,173.81,173.85,191.08,0.0,0.0,0.0,0.0,0.0,0.0,190.4,314.35,0.0,0.0,0.0,0.0,0.0,419.85,148.43,0.0,0.0,0.0,0.0,0.0,163.7,0.0,0.0,0.0,0.0,0.0,0.0,410.63,0.0,0.0,0.0,0.0,0.0
10,65.1,74.07,77.73,78.76,80.11,82.69,86.04,0.0,0.0,92.85,94.97,99.6,100.01,101.17,102.62,0.0,0.0,0.0,103.13,106.82,112.81,113.88,119.23,0.0,0.0,0.0,0.0,121.63,123.07,123.96,131.76,132.02,0.0,0.0,0.0,0.0,156.43,157.11,230.11,0.0,0.0,0.0,0.0,0.0,0.0,273.03,123.37,193.6,0.0,0.0,0.0,0.0,364.43,0.0,0.0,0.0,0.0,0.0,0.0,380.52,0.0,0.0,0.0,0.0,0.0,0.0,380.52,380.52,0.0,0.0,0.0,0.0
