Day,Cath Room 1 Proc 1,Cath Room 1 Proc 2,Cath Room 1 Proc 3,Cath Room 1 Proc 4,Cath Room 1 Proc 5,Cath Room 1 Proc 6,Cath Room 2 Proc 1,Cath Room 2 Proc 2,Cath Room 2 Proc 3,Cath Room 2 Proc 4,Cath Room 2 Proc 5,Cath Room 2 Proc 6,Cath Room 3 Proc 1,Cath Room 3 Proc 2,Cath Room 3 Proc 3,Cath Room 3 Proc 4,Cath Room 3 Proc 5,Cath Room 3 Proc 6,Cath Room 4 Proc 1,Cath Room 4 Proc 2,Cath Room 4 Proc 3,Cath Room 4 Proc 4,Cath Room 4 Proc 5,Cath Room 4 Proc 6,Cath Room 5 Proc 1,Cath Room 5 Proc 2,Cath Room 5 Proc 3,Cath Room 5 Proc 4,Cath Room 5 Proc 5,Cath Room 5 Proc 6,EP Room 1 Proc 1,EP Room 1 Proc 2,EP Room 1 Proc 3,EP Room 1 Proc 4,EP Room 2 Proc 1,EP Room 2 Proc 2,EP Room 2 Proc 3,EP Room 2 Proc 4,EP Room 3 Proc 1,EP Room 3 Proc 2,EP Room 3 Proc 3,EP Room 3 Proc 4,Overflow Proc 1,Overflow Proc 2,Overflow Proc 3,Overflow Proc 4,Overflow Proc 5
1,94.97,142.65,124.64,98.84,0.0,0.0,93.91,139.1,127.91,106.77,0.0,0.0,92.38,131.95,142.4,91.69,106.06,0.0,88.08,125.09,153.27,94.26,0.0,0.0,87.03,122.29,158.43,107.2,0.0,0.0,377.97,0.0,0.0,0.0,108.5,244.42,0.0,0.0,123.37,119.97,90.93,0.0,0.0,0.0,0.0,0.0,0.0
2,68.63,105.52,176.04,149.44,92.34,0.0,74.07,107.25,191.08,127.46,89.87,0.0,102.8,166.52,168.05,106.28,0.0,0.0,62.0,103.66,173.81,156.93,93.35,0.0,83.59,115.28,201.8,120.85,81.85,0.0,364.34,0.0,0.0,0.0,157.86,149.23,0.0,0.0,193.21,133.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,88.02,123.72,181.64,124.45,83.7,0.0,86.04,120.23,193.33,123.08,0.0,0.0,93.56,138.74,169.47,110.58,85.86,0.0,92.04,128.52,178.51,124.22,0.0,0.0,82.69,113.36,354.93,0.0,0.0,0.0,294.26,0.0,0.0,0.0,238.75,97.8,0.0,0.0,244.03,83.67,0.0,0.0,115.62,0.0,0.0,0.0,0.0
4,102.17,162.66,182.42,100.84,0.0,0.0,102.62,166.33,174.99,101.29,0.0,0.0,59.16,103.41,170.52,158.63,81.47,0.0,65.1,104.33,173.85,142.32,90.79,0.0,72.11,107.15,183.0,134.3,62.0,0.0,200.07,0.0,0.0,0.0,190.4,79.47,0.0,0.0,163.7,282.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,83.94,116.32,248.39,99.67,0.0,0.0,81.48,112.05,340.49,0.0,0.0,0.0,80.11,109.49,217.16,118.69,0.0,0.0,77.24,108.35,197.92,132.88,0.0,0.0,90.24,128.1,200.67,104.92,0.0,0.0,204.1,0.0,0.0,0.0,228.43,0.0,0.0,0.0,470.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,99.52,153.94,129.67,99.44,95.18,0.0,100.01,155.52,121.17,118.25,0.0,0.0,94.08,140.29,146.29,104.31,88.2,0.0,96.54,147.17,133.42,108.2,0.0,0.0,89.01,127.92,161.01,107.28,75.82,0.0,158.78,257.94,0.0,0.0,154.17,368.0,0.0,0.0,182.97,67.9,0.0,0.0,634.8,0.0,0.0,0.0,0.0
7,76.0,108.11,193.94,124.98,0.0,0.0,70.0,105.97,182.9,128.61,0.0,0.0,80.93,111.51,268.53,0.0,0.0,0.0,79.71,109.16,206.05,95.93,0.0,0.0,85.16,120.16,185.4,100.75,0.0,0.0,158.87,211.21,0.0,0.0,180.74,172.21,73.63,0.0,148.43,267.38,0.0,0.0,343.84,176.86,0.0,0.0,0.0
8,92.95,132.94,173.28,80.0,0.0,0.0,93.93,140.14,158.91,99.83,0.0,0.0,95.33,143.14,157.25,93.14,0.0,0.0,97.03,149.71,138.84,120.39,0.0,0.0,84.86,118.73,385.65,0.0,0.0,0.0,143.17,324.27,0.0,0.0,129.4,341.82,0.0,0.0,124.07,412.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,84.91,119.23,230.11,78.76,0.0,0.0,93.01,136.28,157.11,112.07,0.0,0.0,80.55,109.56,227.43,92.85,0.0,0.0,77.73,109.08,198.97,113.88,0.0,0.0,102.53,164.47,124.88,106.82,0.0,0.0,207.55,273.03,0.0,0.0,256.9,0.0,0.0,0.0,419.85,0.0,0.0,0.0,410.63,0.0,0.0,0.0,0.0
10,99.56,154.59,131.76,112.81,0.0,0.0,101.17,155.85,128.56,121.63,0.0,0.0,94.27,140.94,156.43,110.4,0.0,0.0,96.74,148.36,132.02,123.07,0.0,0.0,103.13,170.32,123.96,99.6,75.47,0.0,159.17,364.43,0.0,0.0,156.1,380.52,0.0,0.0,193.6,314.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
